1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
t044,t044,t045,t044,t044,t001,t057,t495,t060,t060,t060,t060,t060,t060,t060,t060,t060,t060,t060,t473,t473,t060,t060,t060,t060,t060,t060,t045,t045,t045,t045,t045,t045,t060,t060,t060,t060,t060,t060,t060,t060,t012
t040,t040,t044,t045,t045,t044,t001,t057,t057,t495,t495,t020,t041,t047,t047,t041,t045,t047,t045,t060,t060,t054,t054,t475,t475,t054,t475,t482,t482,t464,t047,t493,t493,t028,t028,t028,t028,t028,t028,t028,t028,t536
t031,t041,t042,t040,t040,t045,t041,t060,t001,t045,t045,t045,t045,t041,t041,t047,t041,t045,t047,t054,t054,t040,t040,t045,t045,t475,t045,t464,t464,t047,t464,t464,t464,t505,t505,t505,t505,t505,t505,t027,t027,t041
t041,t039,t041,t041,t041,t040,t045,t001,t045,t041,t047,t047,t047,t045,t045,t045,t047,t031,t031,t045,t045,t045,t045,t013,t013,t045,t047,t047,t047,t481,t493,t047,t047,t027,t027,t027,t027,t027,t027,t013,t013,t470
t039,t042,t040,t042,t042,t041,t044,t045,t495,t057,t041,t041,t040,t040,t040,t040,t040,t040,t040,t047,t475,t047,t047,t047,t047,t047,t013,t041,t041,t060,t054,t060,t060,t013,t013,t013,t013,t013,t013,t472,t033,t534
t038,t038,t039,t047,t047,t042,t040,t044,t044,t040,t040,t040,t037,t037,t030,t030,t037,t037,t041,t031,t047,t031,t031,t473,t473,t473,t473,t054,t481,t028,t060,t028,t028,t033,t033,t033,t030,t033,t033,t476,t476,t010
t037,t037,t038,t038,t029,t029,t042,t040,t041,t038,t037,t037,t030,t030,t037,t037,t500,t041,t037,t040,t031,t041,t041,t054,t054,t013,t054,t481,t060,t505,t028,t505,t505,t476,t476,t476,t034,t476,t476,t100,t472,t011
t035,t036,t037,t037,t038,t038,t029,t042,t042,t037,t032,t030,t032,t032,t032,t032,t030,t038,t032,t041,t040,t474,t475,t041,t474,t041,t041,t060,t054,t027,t505,t027,t027,t472,t472,t472,t033,t472,t472,t518,t525,t009
t036,t035,t036,t036,t037,t037,t038,t029,t040,t029,t030,t032,t029,t029,t029,t029,t032,t032,t029,t037,t041,t032,t473,t474,t041,t474,t474,t028,t028,t013,t027,t013,t013,t032,t032,t471,t032,t032,t032,t030,t023,t473
t027,t034,t035,t034,t036,t036,t037,t038,t037,t036,t029,t029,t036,t036,t036,t036,t029,t029,t502,t032,t474,t502,t474,t030,t032,t032,t032,t505,t505,t033,t013,t033,t033,t100,t100,t032,t100,t100,t100,t525,t533,t483
t033,t033,t034,t035,t033,t035,t025,t037,t038,t055,t036,t036,t056,t056,t056,t056,t502,t036,t036,t502,t032,t476,t032,t032,t505,t505,t505,t027,t027,t476,t033,t476,t476,t054,t030,t100,t518,t518,t518,t524,t524,t007
t181,t032,t033,t033,t035,t033,t036,t055,t029,t056,t055,t056,t033,t033,t033,t033,t036,t502,t056,t476,t502,t472,t502,t505,t034,t034,t476,t013,t013,t472,t476,t472,t472,t030,t490,t518,t476,t030,t030,t034,t034,t005
t034,t031,t032,t032,t025,t028,t056,t036,t032,t033,t056,t033,t035,t035,t035,t035,t056,t033,t033,t472,t476,t033,t472,t476,t476,t476,t472,t033,t033,t035,t481,t490,t032,t490,t471,t030,t472,t490,t490,t026,t012,t003
t030,t030,t031,t031,t034,t034,t033,t028,t036,t025,t033,t035,t034,t025,t025,t038,t033,t035,t035,t056,t472,t035,t476,t472,t472,t472,t033,t476,t476,t032,t490,t032,t100,t471,t034,t490,t471,t471,t471,t032,t021,t004
t029,t029,t030,t030,t030,t030,t028,t056,t055,t035,t025,t034,t038,t038,t038,t054,t035,t056,t025,t033,t033,t056,t033,t033,t033,t033,t056,t472,t472,t100,t032,t100,t054,t034,t026,t034,t026,t034,t034,t023,t009,t002
t028,t028,t029,t029,t031,t031,t035,t033,t056,t030,t035,t055,t055,t055,t054,t100,t038,t034,t038,t035,t035,t030,t035,t056,t056,t056,t035,t032,t032,t029,t100,t054,t030,t026,t025,t026,t025,t026,t026,t021,t010,t006
t025,t025,t028,t028,t028,t032,t030,t025,t033,t031,t038,t038,t031,t031,t031,t031,t100,t100,t100,t034,t056,t100,t056,t035,t035,t035,t029,t100,t100,t030,t472,t030,t490,t025,t023,t025,t023,t025,t025,t033,t473,t016
t032,t026,t027,t025,t032,t025,t031,t035,t025,t034,t031,t028,t028,t028,t028,t028,t054,t054,t054,t030,t030,t037,t030,t034,t029,t029,t100,t029,t029,t471,t030,t471,t471,t023,t021,t023,t021,t023,t023,t019,t483,t457
t026,t027,t026,t026,t022,t022,t034,t030,t035,t028,t034,t025,t027,t034,t034,t025,t031,t030,t030,t100,t100,t029,t100,t100,t100,t100,t037,t030,t030,t034,t471,t034,t034,t021,t019,t019,t019,t021,t021,t480,t007,t493
